game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020509,2021-03-24,BUF,PIT,5,2,3
2020020510,2021-05-10,EDM,MTL,3,4,4
2020020511,2021-03-24,CGY,OTT,3,1,3
2020020512,2021-03-24,WPG,VAN,1,5,3
2020020513,2021-03-24,ANA,MIN,3,2,3
2020020514,2021-03-24,L.A,S.J,4,2,3
2020020515,2021-03-25,NYI,BOS,3,4,4
2020020516,2021-03-25,NYR,PHI,3,8,3
2020020517,2021-03-25,N.J,WSH,4,3,3
2020020518,2021-03-25,CAR,CBJ,3,4,4
2020020519,2021-03-25,FLA,CHI,3,0,3
2020020520,2021-03-25,DET,NSH,7,1,3
2020020521,2021-03-25,TOR,OTT,2,3,4
2020020522,2021-03-25,T.B,DAL,4,3,3
2020020523,2021-03-25,VGK,COL,5,1,3
2020020524,2021-03-26,N.J,WSH,4,0,3
2020020525,2021-03-26,ANA,STL,1,4,3
2020020526,2021-05-12,EDM,MTL,3,4,4
2020020527,2021-03-26,WPG,CGY,2,3,3
2020020528,2021-03-26,S.J,ARI,5,2,3
2020020529,2021-05-10,NYI,BOS,3,2,4
2020020530,2021-03-27,NYR,PHI,2,1,3
2020020531,2021-03-27,T.B,CAR,4,3,3
2020020532,2021-03-25,BUF,PIT,4,0,3
2020020533,2021-03-27,CBJ,DET,3,1,3
